,区分,メニュー名称,卵,乳成分,小麦,えび,かに,そば,落花生,くるみ,アーモンド,あわび,いか,いくら,オレンジ,カシューナッツ,キウイフルーツ,牛肉,ごま,さけ,さば,大豆,鶏肉,バナナ,豚肉,まつたけ,もも,やまいも,りんご,ゼラチン
237,寿司,天然インド鮪大とろ,,,○,,,,,,,,○,,,,,○,,○,,○,,,○,,,,○,
238,寿司,天然インド鮪大とろ焦がし醤油,,,●,,,,,,,,○,,,,,○,,○,,●,,,○,,,,○,
239,寿司,天然インド鮪中とろ,,,○,,,,,,,,○,,,,,○,,○,,○,,,○,,,,○,
240,寿司,天然インド鮪中とろ焦がし醤油,,,●,,,,,,,,○,,,,,○,,○,,●,,,○,,,,○,
241,寿司,天然インド鮪中落ち包み,,,○,○,,,,,,,,,,,,○,,,,○,,,○,,,,○,
242,寿司,天然インド鮪ねぎとろ包み,○,○,●,○,,,,,,,,,,,,○,,○,,●,,,○,,,,○,
243,寿司,天然インド鮪6貫盛り,○,○,●,○,,,,,,,○,,○,,,○,●,○,,●,○,,○,○,,,○,
244,寿司,天然とろびん長(ミニしゃり),,,○,,,,,,,,,,,,,○,,,,○,,,○,,,,○,
245,寿司,天然とろびん長焦がし醤油,,,●,,,,,,,,,,,,,○,,,,●,,,○,,,,○,
246,寿司,天然とろびん長,,,○,,,,,,,,,,,,,○,,,,○,,,○,,,,○,
247,寿司,天然本鮪赤身1貫,,,○,,,,,,,,,,,,,○,,,,○,,,○,,,,○,
248,寿司,天然本鮪大とろ,,,○,,,,,,,,,,,,,○,,,,○,,,○,,,,○,
249,寿司,天然本鮪大とろ焦がし醤油,,,●,,,,,,,,,,,,,○,,,,●,,,○,,,,○,
250,寿司,天然本鮪中とろ,,,○,,,,,,,,,,,,,○,,,,○,,,○,,,,○,
251,寿司,天然本鮪中とろ焦がし醤油,,,●,,,,,,,,,,,,,○,,,,●,,,○,,,,○,
252,寿司,天然本鮪と天然インド鮪 食べ比べ,,,●,○,,,,,,,○,,○,,,○,●,○,,●,○,,○,○,,,○,
253,寿司,天然真はた,,,●,,,,,,,,,,,,,○,,○,○,●,,,○,,,,○,
254,寿司,時しらずの炙り,,,○,,,,,,,,,,,,,○,,●,,○,,,○,,,,○,
255,寿司,特大天然車えび,,,○,●,,,,,,,,,,,,○,,,,○,,,○,,,,○,
256,寿司,特ネタ大とろ,,,○,,,,,,,,○,,,,,○,,○,,○,,,○,,,,○,
257,寿司,特ネタ大とろ焦がし醤油,,,●,,,,,,,,○,,,,,○,,○,,●,,,○,,,,○,
258,寿司,特ネタ中とろ,,,○,,,,,,,,○,,,,,○,,○,,○,,,○,,,,○,
259,寿司,特ネタ中とろ焦がし醤油,,,●,,,,,,,,○,,,,,○,,○,,●,,,○,,,,○,
260,寿司,とげずわい蟹天ぷらとかに味噌和え,●,●,●,,●,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
261,寿司,とげずわい蟹の天ぷら,●,●,●,,●,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
262,寿司,ドデカあじフライにぎり,○,●,●,,,,,,,,,,,,,○,○,,,●,,,○,,,,○,○
263,寿司,トモサンカク炙り,,,○,,,,,,,,,,,,,●,,,,○,,,○,,,,○,
264,寿司,トモサンカク軍艦,,,○,○,,,,,,,,,,,,●,,,,○,,,○,,,,○,
265,寿司,富山県産ほたるいか沖漬け,,,●,,,,,,,,●,,,,,○,,,,●,,,○,,,,○,
266,寿司,とり肝軍艦,,,●,○,,,,,,,,,,,,○,,,,●,●,,○,,,,○,
267,寿司,とろける炙りサーロイン,,○,●,,,,,,,,,,,,,●,○,,,●,○,,○,,,,○,○
268,寿司,とろ鯖押し寿司1貫,,,○,,○,,,,,,,,,,,○,●,,●,●,,,○,,,,○,
269,寿司,とろさば棒寿司,,,○,○,,,,,,,,,,,,○,●,,●,○,,,○,,,,○,
270,寿司,とろたく包み,,,○,○,,,,,,,,,,,,○,○,,,●,,,○,,○,,○,
271,寿司,とろ鉄火高菜巻,○,○,●,○,○,,,,,,,●,,,,○,●,,●,●,,,○,,○,,○,
272,寿司,茄子の揚げびたし,,○,●,○,○,,,,,,,,,,,○,○,,●,●,○,,○,,,,○,○
273,寿司,納豆キムチ軍艦,,○,○,○,,,,,,,,,,,,○,,,,●,,,○,,●,,●,
274,寿司,生うに包み,,,○,,,,,,,,,,,,,○,,,,○,,,○,,,,○,
275,寿司,生うに包み 2貫,,,○,,,,,,,,,,,,,○,,,,○,,,○,,,,○,
276,寿司,生えび(ミニしゃり),,,○,●,,,,,,,,,,,,○,,,,○,,,○,,,,○,
277,寿司,生車えび1貫,,,○,●,,,,,,,,,,,,○,,,,○,,,○,,,,○,
278,寿司,生サーモン,○,○,○,○,○,,,,,,○,○,,,,○,○,●,○,○,,,○,,,,○,
279,寿司,生サーモン 炙りレモンペッパー仕立て,○,○,○,○,○,,,,,,○,○,,,,○,○,●,○,○,○,,○,,,,○,
280,寿司,生サーモン(ミニしゃり),○,○,○,○,○,,,,,,○,○,,,,○,○,●,○,○,,,○,,,,○,
281,寿司,生サーモン包み,○,○,○,○,○,,,,,,○,○,,,,○,○,●,○,○,,,○,,,,○,
282,寿司,生ハム,●,,○,,,,,,,,,,,,,○,,,,●,,,●,,,,●,
283,寿司,生ハムアボカド,●,,○,,,,,,,,,,,,,○,,,,●,,,●,,,,●,
284,寿司,生ハムのカプレーゼ,○,●,○,○,○,,,,○,,○,,,○,,○,,,,○,○,○,●,,,,○,
285,寿司,生ハムバジルモッツァレラ,○,●,○,○,○,,,,○,,○,,,○,,○,,,,○,○,○,●,,,,○,
286,寿司,生ほたて焦がし醤油,,,●,,,,,,,,,,,,,○,,,,●,,,○,,,,○,
287,寿司,生ほたての天ぷらにぎり,●,●,●,,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
288,寿司,生本ずわい蟹&かに味噌和え,,○,●,,●,,,,,,,,,,,○,,,,●,,,○,,,,○,
289,寿司,煮あなご,,○,●,,,,,,,,,,,,,○,,,,●,,,○,,,,○,
290,寿司,煮あなご(ミニしゃり),,○,●,,,,,,,,,,,,,○,,,,●,,,○,,,,○,
291,寿司,煮ほたての炙り仕立て,,,●,,,,,,,,,,,,,○,,,,●,,,○,,,,○,
292,寿司,ねぎまぐろべったら包み,○,○,○,○,,,,,,,○,,,,,○,○,○,,○,,,○,,,○,○,○
293,寿司,のどぐろの炙り,,,○,,,,,,,,○,,,,,○,,○,○,○,,,○,,,,○,
294,寿司,馬刺しねぎとろ軍艦,,,○,○,,,,,,,,,,,,○,,,,○,,,○,,,,○,
295,寿司,馬刺しユッケ,,○,●,○,○,,,,,,,,,,,○,●,,○,●,○,,○,,,,●,
296,寿司,活〆はまち,,,○,○,○,,,,,,○,,,,,○,,○,○,○,,,○,,,,○,
297,寿司,はみ出す上鉄火,○,○,●,○,○,,,,,,○,●,,,,○,,○,●,●,,,○,,,○,○,○
298,寿司,パンチェッタブロッコリー軍艦,●,●,○,○,○,,,,○,,○,,,○,,○,,,,●,○,○,●,,,,●,
299,寿司,氷見産天然本鮪焦がし醤油,,,●,,,,,,,,,,,,,○,,,,●,,,○,,,,○,
300,寿司,兵庫県産甘えび2貫,,,○,●,,,,,,,○,○,,,,○,,○,,○,,,○,,,,○,
301,寿司,ひらめの天ぷらにぎり,●,●,●,○,○,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
302,寿司,びんとろ,,,○,,,,,,,,,,,,,○,,,,○,,,○,,,,○,
303,寿司,びんとろ(ミニしゃり),,,○,,,,,,,,,,,,,○,,,,○,,,○,,,,○,
304,寿司,びんとろ焦がし醤油,,,●,,,,,,,,,,,,,○,,,,●,,,○,,,,○,
305,寿司,豚キムチーズ,,●,●,○,○,,,,,,,,,,,○,●,,,●,,,●,,●,,●,○
306,寿司,豚バラ軍艦,,,●,○,○,,,,,,,,,,,○,●,,,●,,,●,,,,●,
307,寿司,豚バラにぎり,,,●,○,○,,,,,,,,,,,○,●,,,●,,,●,,,,●,
308,寿司,ぶりの天ぷらにぎり,●,●,●,,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
309,寿司,べったら巻,,,○,○,,,,,,,,,,,,○,○,,,○,,,○,,,,○,
310,寿司,紅ずわいかにみそ軍艦,○,○,●,○,●,,,,,,,,,,,○,,,,●,○,,○,,,,○,
311,寿司,紅ずわい包み,○,○,●,○,●,,,,,,,,,,,○,,,,●,○,,○,,,,○,
312,寿司,ボイル本ずわい蟹,,,○,,●,,,,,,,,,,,○,,,,○,,,○,,,,○,
313,寿司,北陸産あおりいか3貫食べ比べ,,,●,○,,,,,,,●,,,,,○,○,,,●,○,,○,○,,,○,
314,寿司,北陸産甘えび,○,○,●,●,●,,,,,,,●,,,,○,,,●,●,,,○,,,,○,
315,寿司,ほたて貝柱,,,○,○,○,,,,,,○,○,,,,○,,○,○,○,,,○,,,,○,
316,寿司,ほたて貝柱(ミニしゃり),,,○,○,○,,,,,,○,○,,,,○,,○,○,○,,,○,,,,○,
317,寿司,ほたてフライにぎり,●,●,●,,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
318,寿司,ぼたん海老,●,●,●,●,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
319,寿司,北海3貫盛り,○,○,●,●,●,,,,,,○,●,,,,○,,○,●,●,,,○,,,,○,
320,寿司,北海道炙りタラコと博多明太子食べ比べ,,,●,○,,,,,,,,,,,,○,,,,●,,,○,,,,○,
321,寿司,北海道産数の子,,,●,,,,,,,,,,,,,○,,,●,●,,,○,,,,○,
322,寿司,北海道産上いくら,,,●,,,,,,,,,●,,,,○,,,○,●,,,○,,,,○,
323,寿司,北海道産たこわさび,,,○,○,,,,,,,,,,,,○,,○,,●,,,○,,,,○,○
324,寿司,北海道産つぶ貝,,,○,,,,,,,,,,,,,○,,,,○,,,○,,,,○,
325,寿司,ほっき貝,,,○,,,,,,,,,,,,,○,,,,○,,,○,,,,○,
326,寿司,ほっき貝の塩だれユッケ,,,○,,,,,,,,,,,,,○,●,,,○,,,○,,,,○,
327,寿司,ほや軍艦,,,○,○,,,,,,,,,,,,○,,,,○,,,○,,,,○,
328,寿司,本ずわい蟹 かにみそ炙り,,○,●,,●,,,,,,,,,,,○,,,,●,,,○,,,,○,
329,寿司,本ずわい蟹軍艦,,○,●,○,●,,,,,,,,,,,○,,,,●,,,○,,,,○,
330,寿司,本ずわい蟹食べ比べ,,○,●,,●,,,,,,,,,,,○,,,,●,,,○,,,,○,
331,寿司,本鮪赤身,,,○,,,,,,,,○,,,,,○,,○,,○,,,○,,,,○,
332,寿司,マーラー風味赤えび揚げネギ添え,●,○,●,●,○,,,,,,○,,,,,○,●,,○,●,○,,○,,,,●,○
333,寿司,マーラー風味いか揚げネギ添え,●,○,●,○,○,,,,,,●,,,,,○,●,,○,●,○,,○,,,,●,○
334,寿司,マーラー風味サーモン揚げネギ添え,●,○,●,○,○,,,,,,○,,,,,○,●,●,○,●,○,,○,,,,●,○
335,寿司,マーラー風味びんとろ揚げネギ添え,●,○,●,○,○,,,,,,○,,,,,○,●,,○,●,○,,○,,,,●,○
336,寿司,マーラー風味まぐろ軍艦揚げネギ添え,●,○,●,○,○,,,,,,○,,,,,○,●,○,○,●,○,,○,,,,●,○
337,寿司,まぐたく,○,○,○,○,,,,,,,○,,,,,○,○,○,,●,,,○,,○,○,○,○
338,寿司,まぐたく巻,○,○,○,○,,,,,,,○,,,,,○,○,○,,●,,,○,,○,○,○,○
339,寿司,まぐろ,,,○,,,,,,,,○,,,,,○,,○,,○,,,○,,,,○,
340,寿司,まぐろ(ミニしゃリ),,,○,,,,,,,,○,,,,,○,,○,,○,,,○,,,,○,
341,寿司,まぐろ・いか,,,○,,,,,,,,●,,,,,○,,○,,○,,,○,,,,○,
342,寿司,まぐろ・たまご,●,○,●,,,,,,,,○,,,,,○,○,○,●,●,○,,○,,,,○,
343,寿司,まぐろ3貫盛り,○,○,○,○,,,,,,,○,,,,,○,,○,,○,,,○,,,○,○,○
344,寿司,まぐろアボカドユッケ,●,○,●,○,○,,,,,,○,,,,,○,●,○,○,●,○,,○,,,,●,
345,寿司,まぐろ・えび,,,○,●,,,,,,,○,,,,,○,,○,,○,,,○,,,,○,
346,寿司,まぐろ・サーモン,○,○,○,○,○,,,,,,○,,,,,○,,●,○,○,,,○,,,,○,
347,寿司,鮪たたき身,○,○,●,○,,,,,,,,,,,,○,,○,,●,,,○,,,,○,
348,寿司,まぐろのおはぎ,○,○,○,○,,,,,,,○,,○,,,○,○,○,,●,,,○,,○,○,○,○
349,寿司,まぐろ山かけ,○,○,○,○,,,,,,,○,,,,,○,○,○,○,○,○,,○,,,●,○,○
350,寿司,まぐろユッケ(卵黄醤油),●,●,●,●,●,,,,,,○,,,,,○,●,○,○,●,○,,○,,,,●,○
351,寿司,マダガスカル生えび,,,○,●,,,,,,,,,,,,○,,,,○,,,○,,,,○,
352,寿司,マダガスカル生えび(頭なし),,,○,●,,,,,,,,,,,,○,,,,○,,,○,,,,○,
353,寿司,真鱈の天ぷらにぎり,●,●,●,,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
354,寿司,ミートボール軍艦,●,○,●,○,○,,,,,,○,,,,,○,●,,○,●,●,,●,,,,●,○
355,寿司,ミートボールマヨ軍艦,●,○,●,○,○,,,,,,○,,,,,○,●,,○,●,●,,●,,,,●,○
356,寿司,実山椒のせ煮穴子,,○,●,○,○,,,,,○,,,,,,○,○,○,,●,○,,○,○,,,○,
357,寿司,蒸し貝柱,,,○,,,,,,,,,,,,,○,,,,○,,,○,,,,○,
358,寿司,蒸しほたていくら軍艦,○,○,●,○,○,,,,,,,●,,,,○,,,●,●,,,○,,,,○,
359,寿司,蒸しホタテ軍艦,,,○,○,,,,,,,,,,,,○,,,,○,,,○,,,,○,
360,寿司,蒸しほたてバジルレモン,○,●,○,○,○,,,,○,,○,,,○,,○,,,,○,○,○,○,,,,○,
361,寿司,めばちのねぎまぐろ軍艦,○,○,○,○,,,,,,,,,,,,○,,○,,○,,,○,,,,○,
362,寿司,明太子包み,,,●,○,,,,,,,,,,,,○,,,,●,,,○,,,,○,
363,寿司,焼き鯖,○,○,○,○,○,,,,,,○,,,,,○,,○,●,○,,,○,,,,○,
364,寿司,焼とろサーモン,○,○,○,○,○,,,,,,○,,,,,○,,●,○,○,,,○,,,,○,
365,寿司,焼とろサーモン(ミニしゃり),○,○,○,○,○,,,,,,○,,,,,○,,●,○,○,,,○,,,,○,
366,寿司,ヤンニョム えびチーズ,●,●,●,●,,,,,,,,,,,,○,●,,,●,,,○,,,,●,○
367,寿司,ヤンニョム 大型生本ずわい蟹,,○,●,,●,,,,,,,,,,,○,●,,,●,,,○,,,,●,
368,寿司,ヤンニョム サーモンちーず,●,●,●,○,○,,,,,,○,,,,,○,●,●,○,●,,,○,,,,●,○
369,寿司,ヤンニョムチキンロール,●,●,●,○,,,○,,,,,,,,,○,●,,,●,●,,○,,,○,●,
370,寿司,羅臼真いか,,,○,,,,,,,,●,,,,,○,,,,○,,,○,,,,○,
371,寿司,ランチセット(かけうどん),●,○,●,●,○,,,,,,●,,,,,○,●,●,●,●,○,,○,,,,○,○
372,寿司,ランチセット(かけラーメン),●,○,●,●,○,○,○,○,○,○,●,○,○,○,○,●,○,●,●,●,●,○,○,○,○,○,○,○
373,寿司,ランチセット(すしのみ),●,○,●,●,○,,,,,,●,,,,,○,○,●,●,●,○,,○,,,,○,
374,寿司,ランチセット(茶碗蒸し),●,●,●,●,○,,,,,○,●,○,○,,,○,○,●,●,●,●,○,○,,○,,○,○
375,寿司,ランチセット(わかめの赤だし),●,○,●,●,○,,,,,,●,,,,,○,○,●,●,●,○,,○,,,,○,○
376,寿司,ランチセット(わかめの味噌汁),●,○,●,●,○,,,,,,●,,,,,○,○,●,●,●,○,,○,,,,○,○
377,寿司,若鶏グリルステーキ,●,●,●,,,,○,,,,,,,,,●,○,,,●,●,,●,,,○,○,●
378,寿司,和牛さしとろ1貫,●,●,●,,,,,,,,○,,○,,○,●,○,○,○,●,○,,○,,○,○,●,●
379,寿司,和牛さしとろ軍艦,●,●,●,○,,,,,,,○,,○,,○,●,○,○,○,●,○,,○,,○,○,●,●
380,寿司,和牛さしとろポン酢ジュレ,●,●,●,,,,,,,,○,,○,,○,●,○,○,○,●,○,,○,,○,○,●,●
381,サイド,あおさと海苔の赤だし,,○,○,○,○,,,,,,,,,,,○,○,,●,●,○,,○,,,,○,○
382,サイド,あおさと海苔の味噌汁,,○,○,○,○,,,,,,,,,,,○,○,,●,●,○,,○,,,,○,○
383,サイド,あおさと海苔の味噌汁+茶碗蒸し,●,●,●,●,○,,,,,○,,○,○,,,○,○,,●,●,●,○,○,,○,,○,○
384,サイド,あさりの赤だし,,○,○,○,●,,,,,,,,,,,○,○,,●,●,○,,○,,,,○,○
385,サイド,あさりの出汁蒸し,,○,●,○,●,,,,,,,,,,,○,○,,●,●,○,,○,,,,○,○
386,サイド,鯵の骨煎餅,,,,,,,,,,,,,,,,,○,,,●,,,,,,,,
387,サイド,厚切りポテト しお味,,,○,,,,,,,,,,,,,,○,,,●,,,,,,,,
388,サイド,あんかけ茶碗蒸し,●,●,●,●,○,,○,,○,○,,○,○,,,○,○,,●,●,●,○,○,○,○,○,○,○
389,サイド,いか天(一品),●,●,●,,,,,,,,●,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
390,サイド,枝豆,,,,,,,,,,,,,,,,,,,,●,,,,,,,,
391,サイド,えび天(一品),●,●,●,●,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
392,サイド,えび天うどん,●,●,●,●,○,,,,,,○,,○,,,○,●,○,●,●,○,,○,,○,○,○,○
393,サイド,海老フライタルタル包み,●,●,●,●,○,,○,○,○,,○,,○,○,○,○,○,○,○,●,○,○,○,,○,○,●,○
394,サイド,海鮮塩ダレの鶏ももからあげ,●,●,●,,,,,,,,,,,,,,○,,,●,●,,,,,,,
395,サイド,替え玉(うどん),,,●,,,,,,,,,,,,,,,,,,,,,,,,,
396,サイド,替え玉(ラーメン),●,,●,,,○,,,,,,,,,,,,,,,,,,,,,,
397,サイド,かき揚げ(一品),●,○,●,○,,,,,,,,,,,,,○,,,●,,,,,,,,
398,サイド,かき揚げうどん,●,○,●,○,○,,,,,,,,,,,○,●,,●,●,○,,○,,,,○,○
399,サイド,かけうどん,●,○,●,○,○,,,,,,○,,,,,○,●,,●,●,○,,○,,,,○,○
400,サイド,かけラーメン(かに味噌),●,,●,●,●,○,,,,,,,,,,,,,,●,,,●,,,,,
401,サイド,かけラーメン(鴨塩),●,,●,,,○,,,,,,,,,,,,,,●,,,,,,,,
402,サイド,かけラーメン(カラシビ味噌),●,,●,,,○,,,,,,,,,,,○,,,●,,,●,,,,,
403,サイド,かけラーメン(塩),●,,●,,,○,,,,,○,,,,,,●,,○,●,●,,●,,,○,○,
404,サイド,かけラーメン(醤油),●,●,●,○,○,○,○,,,,○,,○,,,○,●,○,○,●,●,○,●,,○,○,●,●
405,サイド,かけラーメン(豚骨しょうゆ),●,●,●,,,○,,,,,○,,○,,○,○,●,○,○,●,●,,●,,○,○,○,○
406,サイド,かけラーメン(函館塩),●,,●,,,○,,,,,,,,,,,,,,●,●,,●,,,,,
407,サイド,かけラーメン(みそ),●,○,●,●,●,○,○,○,○,○,○,○,○,○,○,○,●,○,●,●,●,○,●,○,○,○,○,○
408,サイド,かにの赤だし,,○,○,○,●,,,,,,,,,,,○,○,,●,●,○,,○,,,,○,○
409,サイド,かにの味噌汁,,○,○,○,●,,,,,,,,,,,○,○,,●,●,○,,○,,,,○,○
410,サイド,かぼちゃの天ぷら,●,●,●,,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
411,サイド,カラシビ味噌らー麺 1シビ,●,●,●,,,○,,,,,,,,,,,○,,,●,,,●,,,,,
412,サイド,カラシビ味噌らー麺 3シビ,●,●,●,,,○,,,,,,,,,,,○,,,●,,,●,,,,,
413,サイド,カラシビ味噌らー麺 2シビ,●,●,●,,,○,,,,,,,,,,,○,,,●,,,●,,,,,
414,サイド,きつねうどん,●,○,●,○,○,,,,,,○,,,,,○,●,,●,●,○,,○,,,,○,○
415,サイド,小いわしの唐揚げ,●,●,●,,,,,,,,,,,,,,○,,,●,●,,,,,,,
416,サイド,コーンクリーミーコロッケ,○,●,●,○,○,,,,,,○,,,,,,●,○,,●,●,,●,,,,,
417,サイド,コク旨まぐろ醤油ラーメン,●,●,●,○,○,○,○,○,○,○,○,○,○,○,○,●,●,○,●,●,●,○,○,○,○,○,○,○
418,サイド,コク旨まぐろ醤油ラーメン(漬け鮪入),●,○,●,○,○,○,○,○,○,○,○,○,○,○,○,●,●,○,●,●,●,○,○,○,○,○,○,○
419,サイド,昆布うどん,,○,●,○,○,,,,,,○,,,,,○,●,,●,●,○,,○,,,,○,○
420,サイド,昆布香る函館塩ラーメン,●,,●,,,○,,,,,○,,,,,,●,,○,●,●,,●,,,○,○,
421,サイド,魚のアラの赤だし,,○,○,○,○,,,,,○,○,,,,,○,○,○,●,●,○,,○,,,,○,○
422,サイド,三角いなりあげ(一品),,,●,,,,,,,,,,,,,,,,●,●,○,,,,,,○,
423,サイド,自家製えび・ほたてフライミックス,●,●,●,●,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,●,○
424,サイド,自家製えびフライ,●,●,●,●,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
425,サイド,自家製えびフライ(ソースつき),●,●,●,●,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,●,○
426,サイド,じゃがいもの天ぷら,●,●,●,,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
427,サイド,上えび天(一品),●,●,●,●,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
428,サイド,上えび天うどん,●,●,●,●,○,,,,,,○,,○,,,○,●,○,●,●,○,,○,,○,○,○,○
429,サイド,しらすまぜそば,●,○,●,○,○,○,,,,,,●,,,,○,○,,●,●,○,,○,,,,○,○
430,サイド,濃厚えび味噌ワンタンメン,●,○,●,●,○,○,○,,,,○,,○,,,○,●,○,○,●,○,○,●,,○,,○,○
431,サイド,すし屋のブロッコリーサラダ(マヨ),●,○,●,,,,,,,,○,,,,,,○,,,●,○,,○,,,,●,○
432,サイド,鯛だし塩ラーメン,●,●,●,○,○,○,,,,,○,,○,,,○,●,○,○,●,●,,●,,○,○,○,○
433,サイド,鯛だし塩ラーメン(炙り鯛入り),●,,●,○,○,○,,,,,○,,,,,,●,○,○,●,●,,●,,,○,○,
434,サイド,タイムセール茶碗蒸し,●,●,●,●,●,,,,,○,,○,○,,,○,○,,●,●,●,○,○,○,○,○,○,○
435,サイド,たこの唐揚げ,●,●,●,○,○,,,,,,○,,,,,,○,,○,●,,,,,,,,
436,サイド,だし巻き玉子,●,○,●,,,,,,,,,,,,,,○,○,○,●,○,,,,,,,
437,サイド,たら白子の天ぷら,●,●,●,,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
438,サイド,ちくわ天(一品),●,●,●,,,,,,,,○,,○,,,○,○,○,○,●,○,,●,,○,○,○,○
439,サイド,茶碗蒸し,●,●,●,●,○,,,,,○,,○,○,,,○,○,,●,●,●,○,○,○,○,○,○,○
440,サイド,店内仕込の海鮮ポテサラ(ガリ入),●,○,●,,,,,,,,○,,,,,,○,,,●,○,,○,,,,●,○
441,サイド,懐かしのしょうゆラーメン,●,●,●,○,○,○,○,,,,○,,○,,,○,●,○,○,●,●,○,●,,○,○,●,●
442,サイド,なんこつ唐揚げ,●,●,●,,,,,,,,,,,,,,○,,,●,●,,,○,,,○,
443,サイド,濃厚かに味噌ラーメン,●,○,●,●,●,○,,,,,,,,,,,,,,●,,,●,,,,,
444,サイド,はまぐりのうどん,●,○,●,○,○,,,,,,○,,,,,○,○,,●,●,○,,○,,,,○,○
445,サイド,はまぐりの出汁蒸し,,○,●,○,○,,,,,,,,,,,○,○,,●,●,○,,○,,,,○,○
446,サイド,はまぐりの味噌汁,,○,○,○,○,,,,,,,,,,,○,○,,●,●,○,,○,,,,○,○
447,サイド,はまぐりの味噌汁+茶碗蒸し,●,●,●,●,○,,,,,○,,○,○,,,○,○,,●,●,●,○,○,,○,,○,○
448,サイド,ハリケーーンポテト,●,●,●,,,,,,,,,,,,,,○,,,●,●,,○,,,○,,
449,サイド,パンチェッタジェノベーゼまぜそば,●,●,●,,,○,,,,,,,,,,○,○,,,●,●,,●,,,,○,○
450,サイド,フィッシュ&チップス,●,●,●,,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
451,サイド,フカカツ(甘だれマヨ),●,●,●,○,○,,○,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,●,○
452,サイド,フライドチキン(2個),●,●,●,,,,,,,,,,,,,,○,,,●,●,,,,,,,
453,サイド,フライドチキン(5個),●,●,●,,,,,,,,,,,,,,○,,,●,●,,,,,,,
454,サイド,フライドポテト,,○,●,,,,,,,,,,,,,,○,,,●,,,,,,,○,
455,サイド,ぶりカマ唐揚げ,●,●,●,,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
456,サイド,ほたて天ぷらうどん,●,●,●,○,○,,,,,,○,,○,,,○,●,○,●,●,○,,○,,○,○,○,○
457,サイド,ポテ&チキ,●,●,●,,,,,,,,,,,,,,○,,,●,●,,,,,,○,
458,サイド,ポテトフライ グレイビーソースがけ,,,●,,,,,,,,,,,,,●,○,,,●,●,,●,,,,,●
459,サイド,まぐろカツ(一品),●,●,●,,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
460,サイド,めひかりの天ぷら,●,●,●,○,○,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
461,サイド,モッツアレラチーズ天ぷら(2個),●,●,●,,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
462,サイド,モッツアレラチーズ天ぷら(4個),●,●,●,,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
463,サイド,ヤンニョムチキン(2個),●,●,●,,,,,,,,,,,,,,●,,,●,●,,,,,,●,
464,サイド,ヤンニョムチキン(4個),●,●,●,,,,,,,,,,,,,,●,,,●,●,,,,,,●,
465,サイド,ヤンニョムチキンチーズソースがけ(2個),●,●,●,,,,,,,,,,,,,,●,,,●,●,,,,,,●,
466,サイド,ヤンニョムチキンチーズソースがけ(4個),●,●,●,,,,,,,,,,,,,,●,,,●,●,,,,,,●,
467,サイド,わかめうどん,●,○,●,○,○,,,,,,○,,,,,○,●,,●,●,○,,○,,,,○,○
468,サイド,わかめの味噌汁+茶碗蒸し,●,●,●,●,○,,,,,○,○,○,○,,,○,○,,●,●,●,○,○,,○,,○,○
469,サイド,和歌山ラーメン,●,●,●,,,○,,,,,○,,○,,○,○,●,○,○,●,●,,●,,○,○,●,●
470,デザート,あまおういちごミルクプリン,○,●,,,,,,,,,,,○,,,,,,,○,,○,,,○,,○,
471,デザート,いちごのミニパフェ,●,●,●,,,,,,,,,,○,,○,,○,,,●,,○,,,○,,○,●
472,デザート,かき氷(ソーダ),○,○,○,,,,,,,,,,,,,,,,,,,,,,○,,●,
473,デザート,かき氷(ピーチ),,,,,,,,,,,,,,,,,,,,,,,,,●,,●,
474,デザート,カタラーナアイスブリュレ,●,●,○,,,,,○,○,,,,○,○,○,,○,,,●,,○,,,○,,○,○
475,デザート,京都峯嵐堂のわらびもち,,,,,,,,,,,,,,,,,,,,●,,,,,,,,
476,デザート,懐かしのメロンシャーベット,,,,,,,,,,,,,,,,,,,,,,,,,,,,●
