,区分,メニュー名称,卵,乳成分,小麦,えび,かに,そば,落花生,くるみ,アーモンド,あわび,いか,いくら,オレンジ,カシューナッツ,キウイフルーツ,牛肉,ごま,さけ,さば,大豆,鶏肉,バナナ,豚肉,まつたけ,もも,やまいも,りんご,ゼラチン
48,寿司,活〆ひらめ,,,○,○,○,,,,,,○,,,,,○,,○,○,○,,,○,,,,○,
49,寿司,活〆ひらめのえんがわ,,,○,○,○,,,,,,○,,,,,○,,○,○,○,,,○,,,,○,
50,寿司,活〆ブリヒラR,,,○,,,,,,,,○,,,,,○,,○,○,○,,,○,,,,○,
51,寿司,活〆真鯛,,,○,○,○,,,,,,○,,,,,○,,○,○,○,,,○,,,,○,
52,寿司,活〆真鯛(ミニしゃり),,,○,○,○,,,,,,○,,,,,○,,○,○,○,,,○,,,,○,
53,寿司,いなり,,,●,,,,,,,,,,,,,○,,,●,●,○,,○,,,,○,
54,寿司,インド鮪大とろ焦がし醤油,,,●,,,,,,,,○,,,,,○,,○,,●,,,○,,,,○,
55,寿司,インド鮪中とろ焦がし醤油,,,●,,,,,,,,○,,,,,○,,○,,●,,,○,,,,○,
56,寿司,うなぎ,,,●,,,,,,,,,,,,,○,,,,●,,,○,,,,○,
57,寿司,うなぎの蒲焼き,,,●,,,,,,,,,,,,,○,,,,●,,,○,,,,○,
58,寿司,うな肝軍艦,,,●,○,,,,,,,,,,,,○,,,,●,,,○,,,,○,
59,寿司,うなきゅう巻,,,●,○,,,,,,,,,,,,○,,,,●,,,○,,,,○,
60,寿司,うなとろろ包み,○,○,●,○,,,,,,,,,,,,○,○,○,○,●,○,,○,,,●,○,○
61,寿司,梅きゅう巻,,,○,○,,,,,,,,,,,,○,,,,○,,,○,,,,○,
62,寿司,えび,,,○,●,,,,,,,,,,,,○,,,,○,,,○,,,,○,
63,寿司,えび(ミニしゃり),,,○,●,,,,,,,,,,,,○,,,,○,,,○,,,,○,
64,寿司,えび・いか,,,○,●,,,,,,,●,,,,,○,,,,○,,,○,,,,○,
65,寿司,えび・たまご,●,○,●,●,,,,,,,,,,,,○,○,○,●,●,○,,○,,,,○,
66,寿司,えびアボカド,●,,○,●,,,,,,,,,,,,○,,,,●,,,○,,,,●,
67,寿司,えびおぼろきゅうり巻,●,,○,●,,,,,,,,,,,,○,,,,○,,,○,,,,○,
68,寿司,えびおぼろ巻,●,,○,●,,,,,,,,,,,,○,,,,○,,,○,,,,○,
69,寿司,えびサラダ軍艦,●,●,●,●,,,,,,,,,,,,○,,,,●,,,○,,,,●,
70,寿司,えびチーズ,●,●,○,●,,,,,,,,,,,,○,,,,●,,,○,,,,●,○
71,寿司,えびチーズ・サーモンチーズ,●,●,○,●,○,,,,,,○,,,,,○,,●,○,●,,,○,,,,●,○
72,寿司,えび天にぎり,●,●,●,●,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
73,寿司,えび天マウンテン,●,●,●,●,○,,○,○,○,,○,,○,○,○,○,○,○,○,●,○,○,○,,○,○,●,○
74,寿司,えびのカプレーゼ,○,●,○,●,○,,,,○,,○,,,○,,○,,,,○,○,○,○,,,,○,
75,寿司,えびバジルチーズ,●,●,○,●,○,,,,○,,○,,,○,,○,,,,●,○,○,○,,,,●,○
76,寿司,海老フライアボカドロール,●,○,●,●,,,,,,,○,,,,,○,○,○,●,●,○,,○,,,,●,○
77,寿司,愛媛県産炙り真はた,,,●,,,,,,,,,,,,,○,,,,●,,,○,,,,○,
78,寿司,愛媛県産真はた,,,●,,,,,,,,,,,,,○,,,,●,,,○,,,,○,
79,寿司,えんがわ(ミニしゃり),○,,○,,,,,,,,,,,,,○,,○,,○,,,○,,,,○,
80,寿司,えんがわ焦がし醤油,,,●,,,,,,,,,,,,,○,,,,●,,,○,,,,○,
81,寿司,えんがわ,○,,○,,,,,,,,,,,,,○,,○,,○,,,○,,,,○,
82,寿司,えんがわわさび軍艦,,,●,○,,,,,,,,,,,,○,,,,●,,,○,,,,○,
83,寿司,大えび,,,○,●,,,,,,,,,,,,○,,,,○,,,○,,,,○,
84,寿司,大型生本ずわい蟹,,,○,,●,,,,,,,,,,,○,,,,○,,,○,,,,○,
85,寿司,大型本ずわい蟹天ぷらにぎり,●,●,●,,●,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
86,寿司,大切りあわび2貫,,,○,,,,,,,●,,,,,,○,,,,○,,,○,,,,○,
87,寿司,大切りうなぎ,,,●,,,,,,,,,,,,,○,,,,●,,,○,,,,○,
88,寿司,大切りめばち鮪,,,○,,,,,,,,○,,,,,○,,○,,○,,,○,,,,○,
89,寿司,大切りめばち鮪(ミニしゃり),,,○,,,,,,,,○,,,,,○,,○,,○,,,○,,,,○,
90,寿司,大つぶ貝,,,○,,,,,,,,,,,,,○,,,,○,,,○,,,,○,
